rel,n,lvol_mean,lvol_se,ltrades_mean,ltrades_se,absret_mean,absret_se,signed_imb_mean,signed_imb_se
-17,1026,-0.097560103097219,0.2104793691101292,-0.048381746275796104,0.18865202261585454,-9.565067204933721e-05,9.490140188445154e-05,-0.013734625963633148,0.052269153091771325
-16,1026,-0.06296989499773,0.21101538266047234,-0.029184547459440484,0.188656648755897,-7.157116771098979e-05,9.493625286093881e-05,-0.004098889971478004,0.052804884590565454
-15,1026,-0.022783559454665647,0.20886455980680207,0.0006516273901447308,0.190878220648081,4.4371276891673985e-06,0.00011936407351767006,0.028586225746882632,0.05279880792365889
-14,1026,-0.022411014880698365,0.20683591596901496,0.0178182503888923,0.18728828716690302,-2.885696035993282e-05,0.00011214035063941957,-0.0014732839418544732,0.05300439789085326
-13,1026,-0.04964902593454207,0.20735877439534123,-0.009595276073854877,0.18926526504131,-7.595090090115381e-05,0.0001149792905466881,0.007882714972355459,0.05298060297072423
-12,1026,-0.048199239998846045,0.20728423050538525,0.010340574443917169,0.18785483111768025,7.543087494537041e-06,0.00011365103869496279,0.005235157567686577,0.05431763774400708
-11,1026,-0.036257229013713616,0.2157942270600578,0.005036683071475406,0.1942920955701438,-8.673294420372502e-05,9.480349534754667e-05,-0.008557315463505709,0.052198986561819614
-10,1026,-0.07825231520961672,0.20555824799644393,-0.02121679250998488,0.1884116982582542,-7.173814041901726e-05,0.00010495813013846144,-0.0014949674411389722,0.05305656205431215
-9,1026,-0.11689338308980132,0.21150739868276405,-0.04897339437602803,0.19024335948001753,-6.426600052417304e-05,9.446940560122774e-05,0.022629098407057704,0.05296270135746107
-8,1026,-0.11103362823215997,0.20689899841362752,-0.043981585718964045,0.18861498635744706,-3.408635224422146e-05,0.00011995154959199654,0.018919894886302576,0.052070299128687665
-7,1026,-0.11669916474016369,0.21194107866477052,-0.045573096181549436,0.19155966824052673,-6.645198629760598e-05,0.00015944465945406412,-0.020184961023952248,0.05461986640800494
-6,1026,-0.08804024847662263,0.21092948124935806,-0.04188821821881655,0.19098053648147686,-5.415775479527265e-05,0.00011968347534261733,0.013274698617432867,0.05529301782389583
